player_name,WSM_score
Keegan Murray,5.8477236514311866
Walker Kessler,5.621421538969953
Jalen Williams,5.363804565560018
Tari Eason,5.3311700391478976
O.G. Anunoby,5.271470130662464
Bennedict Mathurin,5.237856728862678
AJ Griffin,5.181182025013981
Paolo Banchero,5.088976879861711
Christian Koloko,4.883658015150745
Shaedon Sharpe,4.848379137221007
Andrew Nembhard,4.766444277797549
Christian Braun,4.762452857288118
David Roddy,4.68031472113478
Jabari Smith Jr.,4.588234137475214
Jaden Ivey,4.2218296430931925
Dyson Daniels,4.174434503533479
Ochai Agbaji,4.140090396054705
Jalen Duren,4.060918552036199
Malaki Branham,3.6082531013269614
Jeremy Sochan,3.4813642661040216
Jaden Hardy,3.2098110478417814
Ousmane Dieng,3.118291562865423
Jaylin Williams,3.1004005923026083
Jabari Walker,2.990950061009711
Caleb Houstan,2.9889852559865777
Dalen Terry,2.988516650566882
MarJon Beauchamp,2.9386723778534747
Mark Williams,2.801431567441151
Orlando Robinson,2.673145190401139
Kevon Harris,2.4648460521633027
Simone Fontecchio,2.3682387132035183
Bryce McGowens,2.2957244776043524
Max Christie,2.1365231836900707
AJ Green,2.012545401393055
Kennedy Chandler,2.009639356347552
Jeff Dowtin Jr.,1.7337219990848542
Jake LaRavia,1.7079462606131475
TyTy Washington Jr.,1.6786663785652551
Johnny Davis,1.5133629569373124
Blake Wesley,1.405152015862525
Moussa Diabate,1.3043165768468148
Patrick Baldwin,1.037449247546901
Dominick Barlow,1.0149174081041232
Brandon Boston Jr.,0.9826183334180691
Wendell Moore Jr.,0.6778312573084548
Kenneth Lofton Jr.,0.5512917535207686
Peyton Watson,0.517709898825563
